Domilas,5
Domilija,6
Domilis,36
Dominga,13
Domingas,4
Domininka,9
Domininkas,126
Dominyka,2076
Dominykas,8219
Dominta,2
Domintas,1
Dona,8
Donalda,63
Donaldas,223
Donardas,23
Donas,13
Donata,1979
Donatas,11446
Donija,2
Donis,3
Donius,4
Donvina,18
Dora,65
Doras,4
Dormantas,5
Dorota,333
Dorotas,2
Doroteja,1
Dorotis,1
Dovaidas,3
Dovainis,14
Dovaldas,27
Dovardas,1
Dovas,173
Dovijus,28
Dovilas,33
Dovilija,15
Dovilijus,1
Dovilis,8
Dovilius,2
Doviltas,8
Dovis,32
Dovyda,3
Dovydas,9345
Dravis,2
Dravys,1
Drasa,1
Drasius,3
Drasutis,6
Dromantas,3
Dzidas,7
Dzidorius,3
Dzidra,13
Dziugas,1
Dainuora,1
Daloresa,1
Daminykas,1
Danata,12
Danatas,9
Danelius,13
Dylanas,6
Dilfija,1
Dimentijus,1
Divonisijus,1
Dizidorius,1
Domnika,4
Domnyka,1
Duonatas,2
Damian,362
Dan,44
Daniel,2686
Daniella,42
Danielle,16
Daniels,12
Daria,90
Darya,10
Darij,13
David,874
Davids,2
Deymantas,1
Deinor,2
Deivids,3
Dekster,1
Delia,2
Den,8
Dia,9
Diego,5
Diya,1
Dilan,62
Dylan,45
Dilans,2
Dilia,2
Dillan,6
Dillanas,1
Dino,4
Dion,3
Dioniz,2
Dmitrij,3350
Dom,2
Dominyk,48
Donald,1
Donat,46
Donnis,1
Dorothea,6
Dov,3
Dovilia,2
Eda,31
Edas,300
Edena,5
Edenas,54
Edgara,1
Edgaras,7182
Edgardas,96
Edis,45
Edisonas,1
Edita,12237
Editas,7
Edite,1
Edma,9
Edmas,62
Edmunda,18
Edmundas,4928
Edrija,1
Eduarda,12
Eduardas,1819
Edvarda,6
Edvardas,4572
Edvilas,3
Edvilius,4
Edvina,72
Edvinas,7679
Edvydas,4
Efrema,1
Efremas,3
Egbertas,4
Egida,22
Egidas,1
Egidija,723
Egidijus,12580
Egidis,1
Egila,2
Egilas,3
Egilija,15
Egilis,2
Egimantas,6
Eginta,6
Egis,6
Egle,6
Eglija,4
Eglina,5
Eglita,7
Egmontas,12
Egonas,8
Egonis,1
Eglius,1
Eibaras,1
Eibartas,2
Eida,7
Eidas,26
Eidenis,3
Eidimantas,5
Eidimtas,3
Eidintas,5
Eidivalda,1
Eidivaldas,1
Eidmantas,18
Eidmina,2
Eidminas,19
Eidotas,5
Eidvida,1
Eidvidas,12
Eidvilas,13
Eidvilija,1
Eidviltas,1
Eidvina,2
Eidvinas,11
Eidvydas,13
Eigantas,11
Eigardas,15
Eigimantas,2
Eiginas,1
Eigindas,1
Eiginta,16
Eigintas,29
Eigirda,1
Eigirdas,134
Eigydas,2
Eigmantas,2
Eigmina,1
Eigminas,5
Eigvidas,2
Eigvirdas,1
Eikantas,2
Eikintas,3
Eima,18
Eimanas,4
Eimanta,6
Eimantas,5404
Eimante,1
Eimas,23
Eimilija,1
Eimina,3
Eiminas,26
Eiminta,5
Eimintas,23
Eimis,35
Eimius,1
Eimonas,3
Eimutis,349
Einara,10
Einaras,344
Einartas,42
Einas,1
Einis,7
Einius,152
Einys,1
Einora,36
Einoras,467
Einorius,1
Eira,14
Eirimas,68
Eiris,1
Eismantas,48
Eismina,4
Eisminas,2
Eisra,5
Eisvidas,5
Eisvina,54
Eisvinas,42
Eisvyda,1
Eisvydas,20
Eita,4
Eitara,4
Eitaras,33
Eitarius,1
Eitas,3
Eitautas,20
Eitmantas,2
Eitminas,2
Eitnoras,2
Eitonas,13
Eitvaldas,2
